,STAAR Score in Math (2019-2021),STAAR Score in Reading (2019-2021),STAAR Score in Math (2021-2022),STAAR Score in Reading (2021-2022),STAAR Score in Math (2019-2022),STAAR Score in Reading (2019-2022),County #,County Name,Labor Force (2019-2021),Employed Persons Difference (2021-2019),Umemployed Persons Difference (2021-2019),Unemployment Rate Difference (2021-2019),FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021,FTE Teachers 2021-2022,Total Staff 2021-2022,Total Students 2021-2022,Number of Teachers (2019-2021),Number of Overall Staff (2019-2021),Number of Students (2019-2021),Number of Teachers (2021-2022),Number of Overall Staff (2021-2022),Number of Students (2021-2022),Number of Teachers (2019-2022),Number of Overall Staff (2019-2022),Number of Students (2019-2022)
80,-1,1,1,0,0,1,48161,Freestone,0,-0.02,0.51,0.5,73.17,142.19,908.0,71.68,146.02,881.25,72.28,145.3,880.75,-2,3,-3,1,0,0,-1,2,-3
81,-5,-2,4,1,-2,-1,48163,Frio,-9,-0.11,0.67,0.85,111.69,256.31,1569.5,108.4,258.16,1459.5,104.49,248.32,1475.5,-3,1,-7,-4,-4,1,-6,-3,-6
82,0,0,1,0,0,0,48165,Gaines,0,-0.02,0.89,0.92,94.78,198.21,1223.33,98.87,205.09,1194.67,98.89,206.16,1210.33,4,3,-2,0,1,1,4,4,-1
83,-5,-1,5,1,-1,0,48167,Galveston,1,-0.02,0.66,0.63,514.56,1078.49,8310.9,532.6,1135.11,8103.0,533.65,1130.83,8134.0,4,5,-3,0,0,0,4,5,-2
84,-2,1,2,-2,-1,-1,48169,Garza,-6,-0.08,0.82,0.92,47.91,96.7,484.5,44.07,91.59,457.0,42.61,89.2,450.5,-8,-5,-6,-3,-3,-1,-11,-8,-7
85,-2,1,0,-2,-2,-1,48171,Gillespie,4,0.03,0.41,0.38,133.49,272.75,1852.0,140.93,284.42,1827.5,141.38,289.52,1840.5,6,4,-1,0,2,1,6,6,-1
86,-1,1,0,0,0,1,48173,Glasscock,3,0.02,0.41,0.32,34.21,68.73,305.0,34.65,70.91,293.0,33.67,69.4,293.0,1,3,-4,-3,-2,0,-2,1,-4
87,-3,1,1,0,-2,0,48175,Goliad,-2,-0.06,0.9,0.94,92.93,198.57,1330.0,99.64,222.96,1271.0,102.52,236.6,1315.0,7,12,-4,3,6,3,10,19,-1
88,-3,0,2,0,0,0,48177,Gonzales,1,-0.0,0.6,0.59,98.75,221.09,1421.0,99.38,228.12,1322.33,98.78,229.59,1328.0,1,3,-7,-1,1,0,0,4,-7
89,-9,-7,2,1,-7,-6,48179,Gray,-3,-0.06,0.8,0.86,67.74,144.02,997.5,70.07,149.92,978.5,70.26,154.52,967.5,3,4,-2,0,3,-1,4,7,-3
90,-2,0,1,0,-1,0,48181,Grayson,3,0.02,0.53,0.48,134.14,251.42,1820.08,138.92,267.49,1826.15,142.85,265.99,1885.85,4,6,0,3,-1,3,6,6,4
91,-2,1,2,0,0,0,48183,Gregg,-2,-0.05,0.69,0.71,242.69,481.51,3431.29,246.33,492.85,3356.71,248.63,500.1,3363.29,1,2,-2,1,1,0,2,4,-2
92,-2,1,2,0,0,1,48185,Grimes,0,-0.03,0.68,0.68,90.93,157.77,1157.0,97.89,173.19,1112.75,95.64,168.24,1159.0,8,10,-4,-2,-3,4,5,7,0
93,-3,0,1,0,-2,0,48187,Guadalupe,2,0.0,0.52,0.47,408.2,802.66,6653.25,426.0,824.55,6476.0,433.65,851.35,6605.25,4,3,-3,2,3,2,6,6,-1
94,-4,-2,0,-1,-4,-3,48189,Hale,-1,-0.03,0.35,0.36,104.28,203.69,1444.0,102.8,206.24,1331.6,100.96,205.21,1310.2,-1,1,-8,-2,-1,-2,-3,1,-9
95,-3,1,3,0,0,1,48191,Hall,3,0.02,0.34,0.29,43.37,107.59,488.0,43.87,110.34,443.0,43.04,116.21,442.0,1,3,-9,-2,5,0,-1,8,-9
96,-2,0,1,0,-1,0,48193,Hamilton,4,0.03,0.43,0.37,49.58,88.31,588.33,52.01,91.19,558.0,54.49,95.2,592.0,5,3,-5,5,4,6,10,8,1
97,-1,1,0,0,-1,1,48195,Hansford,-7,-0.07,0.18,0.25,46.32,87.21,481.0,45.33,89.8,454.67,47.38,88.99,445.67,-2,3,-5,5,-1,-2,2,2,-7
98,-2,0,1,0,-1,0,48197,Hardeman,1,-0.0,0.45,0.43,36.15,73.84,350.0,38.39,80.98,367.5,41.97,87.68,348.5,6,10,5,9,8,-5,16,19,0
99,-3,-1,2,0,-1,-1,48199,Hardin,-2,-0.06,0.71,0.74,151.77,293.9,2208.0,155.45,306.14,2197.8,159.38,316.53,2244.8,2,4,0,3,3,2,5,8,2
100,0,4,7,5,6,9,48201,Harris,0,-0.02,0.68,0.67,1039.49,2164.3,16766.06,1065.77,2229.96,16375.52,1073.12,2270.31,17104.29,3,3,-2,1,2,4,3,5,2
101,-2,1,1,-1,-1,0,48203,Harrison,-1,-0.04,0.63,0.65,156.85,311.87,2914.67,160.51,327.36,3809.67,156.92,321.51,4448.83,2,5,31,-2,-2,17,0,3,53
102,0,0,1,0,0,1,48205,Hartley,-1,-0.02,0.24,0.24,20.2,36.52,202.5,19.26,36.34,202.0,19.51,38.51,197.5,-5,0,0,1,6,-2,-3,5,-2
103,-2,0,-3,-4,-5,-4,48207,Haskell,23,0.22,0.48,0.18,32.31,58.46,268.67,32.09,57.16,260.67,31.54,56.96,258.33,-1,-2,-3,-2,0,-1,-2,-3,-4
104,-2,1,0,-2,-2,-1,48209,Hays,9,0.07,0.6,0.46,414.44,862.93,6300.0,444.83,916.79,6436.0,467.35,942.62,6765.17,7,6,2,5,3,5,13,9,7
105,-6,-2,5,1,-2,-1,48211,Hemphill,-17,-0.19,0.37,0.65,83.55,147.0,906.0,85.34,150.91,877.0,82.89,151.26,841.0,2,3,-3,-3,0,-4,-1,3,-7
106,-3,0,2,0,-1,0,48213,Henderson,6,0.04,0.54,0.46,92.05,187.75,1261.12,94.22,197.66,1232.0,96.22,198.92,1247.88,2,5,-2,2,1,1,5,6,-1
107,-8,-3,16,6,7,2,48215,Hidalgo,5,0.02,0.56,0.48,723.18,1570.14,10858.53,710.79,1547.15,10397.47,704.47,1564.96,9864.84,-2,-1,-4,-1,1,-5,-3,0,-9
108,-2,1,1,0,-1,0,48217,Hill,4,0.02,0.56,0.52,45.35,94.35,567.36,46.4,93.74,538.55,45.08,94.31,548.09,2,-1,-5,-3,1,2,-1,0,-3
109,-1,1,2,0,1,1,48219,Hockley,-4,-0.07,0.95,1.0,66.62,122.05,803.33,67.88,125.66,771.5,68.15,129.26,782.83,2,3,-4,0,3,1,2,6,-3
110,-1,2,1,0,0,2,48221,Hood,5,0.03,0.59,0.53,142.18,265.64,2164.0,154.93,288.92,2189.75,160.45,302.53,2270.5,9,9,1,4,5,4,13,14,5
111,-2,1,2,0,-1,1,48223,Hopkins,3,0.01,0.46,0.39,80.89,155.58,979.29,84.29,161.61,968.0,84.37,163.36,968.57,4,4,-1,0,1,0,4,5,-1
112,-2,1,2,0,0,1,48225,Houston,4,0.02,0.61,0.55,50.34,98.41,630.8,52.81,101.59,615.4,50.08,99.82,612.4,5,3,-2,-5,-2,0,-1,1,-3
113,-2,0,2,0,1,1,48227,Howard,-4,-0.08,1.02,1.1,131.03,271.51,1972.33,136.45,282.7,1856.67,134.52,282.86,1829.67,4,4,-6,-1,0,-1,3,4,-7
114,38,41,-5,-8,23,24,48229,Hudspeth,0,-0.01,0.34,0.35,20.11,44.12,194.0,19.15,42.86,203.0,18.56,45.41,196.0,-5,-3,5,-3,6,-3,-8,3,1
115,-3,0,2,0,-1,-1,48231,Hunt,4,0.02,0.49,0.42,110.54,221.57,1531.5,113.8,225.74,1493.3,118.82,239.01,1538.4,3,2,-2,4,6,3,7,8,0
116,2,5,2,0,4,5,48233,Hutchinson,-1,-0.02,0.34,0.36,84.37,177.14,1057.25,85.78,183.3,984.0,80.13,178.4,978.25,2,3,-7,-7,-3,-1,-5,1,-7
